2 5
permit 86626828 93153993
deny 20868046 17791179
permit 28886060 93375551
deny 40826684 17593337
permit 60266044 55119191
deny 26824682 19917397
deny 24000648 77551179
permit 80628020 51713191
permit 86848662 79133993
deny 80226628 19515955
permit 86684664 17571573
deny 84644284 55753755
permit 20844488 79979551
deny 02662686 19977737
deny 28086668 35799535
permit 42668002 19519951
permit 08040400 95155917
deny 02200604 35715115
deny 06248268 93591597
deny 04002640 31375577
permit 42060684 33735775
deny 46884248 11537791
deny 48888444 13711791
deny 84286262 19959379
permit 48480600 39759979
deny 88408006 33539339
deny 62862640 77779755
permit 82004022 35395531
permit 26008226 57575959
deny 08226028 71957151
deny 88486428 13131357
permit 20684062 91337533
permit 88820622 51139593
permit 26626802 77753191
deny 24004608 31591913
deny 80626860 33559397
permit 04644640 79557955
deny 24428048 13753511
deny 24068620 97731797
permit 68448202 95515557
permit 84880204 19751117
deny 86604008 79319115
deny 04000020 51915533
permit 02042402 35955793
permit 46668206 75519971
deny 48026604 33135351
deny 08808086 51379159
deny 02084426 59159993
permit 28626084 17575155
deny 44200626 95135319
permit 66282028 59373519
deny 20808682 39757577
permit 40848864 75177119
deny 82402426 95779153
permit 68600228 91377375
deny 64640622 33515519
permit 64284646 37933373
deny 82848804 75917111
deny 00266006 71179379
deny 88408602 15179957
permit 88864464 53317755
deny 48262606 39157133
deny 28222604 71937711
permit 82280286 93579951
permit 02026024 93571117
deny 26602080 57391331
permit 42406442 33599379
deny 40660008 37777117
permit 46008604 59599513
deny 80046884 31535931
deny 44846862 99151997
deny 42646222 31573935
permit 08486264 75977935
deny 02824064 31917355
deny 84046646 35111595
permit 64046844 55179357
permit 04442624 51531155
deny 88604866 35379133
deny 46048808 13511575
deny 88844208 33939979
permit 84602046 73517171
deny 86466460 73515359
deny 40486244 37939177
deny 40484628 11999379
permit 40488402 91971113
deny 06882662 71199151
permit 40280082 75193375
permit 08088846 99979117
permit 40220802 19951315
deny 66248600 97577977
deny 64284226 71155975
deny 44240444 37999331
permit 04626406 11713975
deny 82624844 39997731
deny 80804600 93711115
permit 66444444 39137559
permit 62224406 51155733
permit 28046682 95177395
permit 44682664 33759397
deny 06822464 73799353
permit 64200002 95337711
deny 82400840 77997317
deny 60662660 11393919
permit 68464620 91733357
permit 80600408 13717373
deny 40604060 99977753
deny 26202040 15733137
deny 28480480 11799313
permit 60064008 99535719
deny 82208202 59575537
deny 46820624 91377915
deny 82020004 13533997
permit 08288666 39717397
deny 44002688 15719717
deny 24024208 59999593
deny 24668646 33119331
permit 40046068 37175399
deny 08428882 53797179
deny 82204064 71939937
permit 20668048 91513593
permit 82282228 93793157
deny 20622484 35795159
deny 80802428 51731571
permit 40406800 51517135
permit 04404864 71799737
deny 62024248 95515159
deny 22824288 59173113
deny 64020648 51377573
permit 80484000 51153555
deny 44286664 17531337
deny 40846240 57357911
deny 64888444 71355919
permit 04460802 91175157
deny 40264804 17979395
deny 62664082 91799337
deny 66886008 59935973
permit 00046064 33599331
deny 84484240 71777757
deny 68642848 73155931
permit 20860042 79731351
permit 40686266 15995357
deny 68602404 57137391
permit 48462888 57313759
deny 84648460 93531577
permit 44202246 33951957
deny 66848242 75177355
deny 28002402 79755511
deny 62648646 75115539
permit 02284662 17313933
deny 62066220 51539513
deny 80246628 71519193
deny 42206000 97195771
permit 22000888 53331771
permit 88088246 51577513
deny 48064822 99957753
deny 42044082 13935997
permit 02482624 11553799
deny 48882280 55731931
deny 60486044 59735511
deny 00682448 55731933
permit 88048680 35933919
deny 80204688 73799377
deny 04664480 17715359
deny 22402666 95153577
permit 24428242 73711913
deny 66466806 73955755
deny 40408284 97137311
permit 86248084 57335377
permit 88442882 53797799
deny 68024002 93779559
deny 04668446 53137571
permit 24066826 33397379
permit 40464442 73179797
deny 86860284 55133719
deny 20808660 91531151
deny 86806828 53117199
permit 28442224 71377391
permit 62804682 99915731
deny 62664462 11537131
deny 24000226 97195139
permit 20864826 53357155
deny 26884224 11939911
deny 68402008 33357391
deny 82862628 13559195
permit 62248046 97755737
deny 68260446 91351997
deny 64824808 53391357
deny 20686462 59715991
permit 42682246 99335157
deny 88280268 95579931
deny 86602840 99911357
permit 06440848 95795953
permit 46068662 39119597
deny 40600022 39915535
deny 46006220 15157511
permit 00248662 51199355
permit 06824262 37539373
permit 44628842 33395911
deny 46864046 13339537
deny 02622260 59533917
permit 06048026 99375773
deny 06222844 73577517
deny 02208284 71379351
permit 20224826 39513533
permit 42408006 79977751
permit 60084246 91195599
deny 62248880 33511339
deny 66680664 15939953
permit 06866226 59117951
deny 26402642 71555913
deny 46628084 35357191
deny 28442866 37731739
permit 86660040 77375935
deny 24642420 59731391
deny 28886642 19197575
deny 80046660 93111911
permit 68666884 17197135
deny 06240886 97571335
deny 08026486 57973553
deny 62284224 59979753
permit 42662800 59519731
deny 68648042 11931933
deny 02040200 77339551
deny 86044080 35379551
permit 40642066 55917755
deny 42446484 15917373
permit 88606880 79715379
deny 00482422 17751913
permit 80820848 53351997
deny 60426482 19511933
deny 82626644 99375133
permit 24484206 37735337
permit 84262606 79913333
deny 80426886 15713111
deny 62880046 31319339
permit 08628060 99753131
permit 64666642 75393757
deny 64608200 17971115
deny 24006642 17377777
deny 04482402 53793537
permit 08442200 75731139
deny 08282882 19777337
permit 86668046 75315999
deny 84280664 93553935
permit 08604202 17779133
deny 68400482 95159575
deny 44602602 75779539
deny 42422644 53773757
permit 20008042 93377337
deny 06646444 15175995
deny 46842004 17553773
permit 88848628 59379777
permit 02248446 91199597
permit 22268802 75753791
deny 68628868 93795151
deny 02684484 51573175
permit 48684008 51959735
deny 88488082 75355319
deny 22626208 19775333
deny 24208220 97111999
permit 22404288 31559795
deny 66662882 99515179
permit 06884848 71173777
deny 42608464 57519135
permit 24046686 13751313
deny 26484044 79913911
deny 26640880 75955713
deny 88460668 71393533
permit 88600640 11393519
deny 00244240 37995379
deny 46008484 39573593
permit 82626424 95375195
permit 84622068 75993319
deny 02624262 15333975
deny 86420460 77135153
deny 24864228 15939553
permit 06480864 95773175
deny 82022026 75959793
deny 80488604 75997177
permit 04402042 59157351
permit 04026242 35539395
deny 86882442 59737995
deny 60002802 73371919
deny 82428080 97139371
permit 66828442 53519337
deny 66848428 51133177
permit 20206440 53335373
deny 46402064 15397511
permit 86662042 57595517
deny 84288448 73939977
deny 28662684 57599197
deny 86024206 59737533
permit 88868680 91733199
deny 08004426 95139575
permit 42684040 17757535
deny 60606882 37373735
permit 26480006 39777979
deny 88008426 19539777
deny 82604486 59573553
deny 46486400 59577513
permit 84824604 57753933
deny 20260688 13315159
deny 68682482 35135971
permit 20002460 97531351
permit 64600668 17337793
deny 00402006 79191191
permit 88000044 77193791
deny 86228046 51199751
permit 06020608 33995733
permit 04002402 75913395
deny 08628224 53913997
permit 66246244 97971135
permit 00604200 35731595
deny 64448808 91377393
deny 82884028 77797193
permit 28428660 53777117
permit 24426848 91951311
deny 28282888 77711935
deny 28022606 39957911
permit 62606262 91937119
permit 62280640 91935151
deny 46868800 31931535
deny 62484202 11393515
deny 66880460 11373373
permit 44882864 19779533
deny 20482646 73333199
deny 40464064 91915975
deny 80486664 77595333
permit 88242602 33539151
deny 08844848 13937375
deny 06480286 93719759
deny 66466426 79339575
permit 82884662 71799331
deny 60642404 53373559
deny 80822664 53935331
permit 46208668 79379379
permit 04446886 37513931
deny 66086266 11395119
deny 60624804 13153759
deny 08222200 19399395
permit 82846204 75555171
deny 48668860 75337951
deny 46206606 13953551
deny 64688426 31555553
permit 86460820 93197313
deny 82668666 59395373
permit 24608826 19979915
deny 88286660 39359173
permit 44602022 91537193
deny 62486064 13913953
permit 86644864 35117131
deny 82040006 99193993
permit 00246244 95799973
deny 66086068 19757975
deny 82028824 95337351
deny 66284064 15517171
permit 28826004 31115937
deny 86446824 77733319
deny 82682004 13539555
deny 02488848 95571175
permit 26620822 75317515
deny 08244680 37997797
deny 62004880 77571377
permit 44826886 75793779
permit 00662608 77355735
permit 60648042 33159951
deny 00804824 55979155
deny 04442606 13155537
permit 28680620 11177157
deny 20044400 51555359
deny 64404224 15395139
deny 22082606 19371951
permit 48242440 39179335
deny 64204420 59973759
deny 82086266 73357757
permit 42846022 91111537
permit 22260846 97577717
deny 20040282 93973713
permit 42226622 53759399
deny 08446624 57595573
permit 02088024 15373719
deny 42288244 35537799
deny 62284266 75551951
deny 20420004 15395191
permit 22002024 95317797
deny 42462086 95179359
deny 02204846 13715155
permit 20248462 11555931
permit 24620402 91115139
deny 22806266 73555333
deny 66206842 51957731
deny 06880406 95911919
permit 28408224 53559773
deny 88204208 39915713
deny 24406604 59139733
deny 68268640 93357591
permit 82222602 39139573
deny 66280884 75135933
permit 60886080 39531151
deny 40600806 31353337
permit 84228844 97997711
deny 08640442 51999517
permit 82242822 57533755
deny 28866264 53997975
permit 44400488 31593577
deny 66862046 77319193
deny 42224080 33117777
permit 04466262 17157511
permit 02662864 31195971
deny 62866262 51533911
deny 66802266 79155995
permit 80026684 13319193
permit 68246242 15959377
deny 46222208 19393391
deny 26606204 31377179
deny 08602802 91331713
permit 62200246 33137931
permit 28888840 59597395
deny 60888028 13133539
deny 28280460 35511359
permit 60424864 59979957
deny 20240466 93917937
deny 68842848 79751573
permit 08624686 91791719
permit 04842424 73337197
deny 44484864 91135371
deny 02206046 97357799
deny 42686888 37519533
permit 66640440 53515513
deny 28682862 13117711
deny 80224246 51913133
deny 60202826 15973155
permit 02020244 53599997
deny 28066664 59991197
deny 24468882 51773939
permit 84000640 73593955
permit 80804400 91599331
deny 86426264 15975911
deny 00066800 13799737
permit 64886682 19115131
permit 08644028 95797351
deny 66680880 73375973
deny 62808686 59757977
deny 46860002 17799779
permit 08008808 33311573
deny 28642026 99355559
deny 82644484 17711137
deny 26640406 77599993
permit 86880808 35553573
deny 80280206 75971135
deny 22800046 79331753
deny 84424202 19711517
permit 40222488 77773117
deny 06680664 75395759
deny 24468886 97951755
permit 84286462 99991733
permit 46644880 75993135
deny 46402820 77751971
deny 26420640 93713719
permit 62204400 33111775
permit 02406248 13391531
deny 42086228 71791351
permit 88604820 75791971
deny 28026046 57571313
permit 48024806 31753597
permit 86480400 95713111
deny 02840626 31933155
permit 06800206 97515719
deny 46220802 13519559
permit 64444480 73137935
deny 44660622 59513959
deny 80800684 97755511
deny 68664624 73579579
permit 66246240 77357337
permit 62048468 57391159
deny 66228644 73155935
deny 28842800 33913191
deny 40804642 97957931
permit 20222206 31137953
deny 42020080 55511575
deny 08260684 71757377
permit 04866846 39595319
deny 22068486 33933151
permit 62626484 75797195
deny 62066626 35113115
permit 66608600 13717915
permit 80644464 37393559
permit 20800002 13159531
deny 26446444 75373195
permit 08864842 13715975
permit 66246442 91991133
deny 06462820 71937973
deny 24880062 73333153
permit 48060046 79559531
permit 82686444 95955573
permit 60480086 53133371
deny 46446600 51517997
deny 22246802 97597955
deny 06684624 99771517
permit 84668664 35113713
deny 86466880 55755595
deny 24686022 79533511
permit 60280206 57511197
permit 24084224 73113519
deny 00208666 55373735
permit 04068404 79119971
permit 02086886 99151317
deny 08282680 31533715
deny 24660284 31715799
permit 42668486 79599551
permit 26420646 93753557
deny 88860822 15379995
deny 86626828 93153993
permit 20868046 17791179
deny 28886060 93375551
permit 40826684 17593337
deny 60266044 55119191
permit 26824682 19917397
permit 24000648 77551179
deny 80628020 51713191
deny 86848662 79133993
permit 80226628 19515955
deny 86684664 17571573
permit 84644284 55753755
deny 20844488 79979551
permit 02662686 19977737
permit 28086668 35799535
deny 42668002 19519951
deny 08040400 95155917
permit 02200604 35715115
permit 06248268 93591597
permit 04002640 31375577
deny 42060684 33735775
permit 46884248 11537791
permit 48888444 13711791
permit 84286262 19959379
deny 48480600 39759979
permit 88408006 33539339
permit 62862640 77779755
deny 82004022 35395531
deny 26008226 57575959
permit 08226028 71957151
permit 88486428 13131357
deny 20684062 91337533
deny 88820622 51139593
deny 26626802 77753191
permit 24004608 31591913
permit 80626860 33559397
deny 04644640 79557955
permit 24428048 13753511
permit 24068620 97731797
deny 68448202 95515557
deny 84880204 19751117
permit 86604008 79319115
permit 04000020 51915533
deny 02042402 35955793
deny 46668206 75519971
permit 48026604 33135351
permit 08808086 51379159
permit 02084426 59159993
deny 28626084 17575155
permit 44200626 95135319
deny 66282028 59373519
permit 20808682 39757577
deny 40848864 75177119
permit 82402426 95779153
deny 68600228 91377375
permit 64640622 33515519
deny 64284646 37933373
permit 82848804 75917111
permit 00266006 71179379
permit 88408602 15179957
deny 88864464 53317755
permit 48262606 39157133
permit 28222604 71937711
deny 82280286 93579951
deny 02026024 93571117
permit 26602080 57391331
deny 42406442 33599379
permit 40660008 37777117
deny 46008604 59599513
permit 80046884 31535931
permit 44846862 99151997
permit 42646222 31573935
deny 08486264 75977935
permit 02824064 31917355
permit 84046646 35111595
deny 64046844 55179357
deny 04442624 51531155
permit 88604866 35379133
permit 46048808 13511575
permit 88844208 33939979
deny 84602046 73517171
permit 86466460 73515359
permit 40486244 37939177
permit 40484628 11999379
deny 40488402 91971113
permit 06882662 71199151
deny 40280082 75193375
deny 08088846 99979117
deny 40220802 19951315
permit 66248600 97577977
permit 64284226 71155975
permit 44240444 37999331
deny 04626406 11713975
permit 82624844 39997731
permit 80804600 93711115
deny 66444444 39137559
deny 62224406 51155733
deny 28046682 95177395
deny 44682664 33759397
permit 06822464 73799353
deny 64200002 95337711
permit 82400840 77997317
permit 60662660 11393919
deny 68464620 91733357
deny 80600408 13717373
permit 40604060 99977753
permit 26202040 15733137
permit 28480480 11799313
deny 60064008 99535719
permit 82208202 59575537
permit 46820624 91377915
permit 82020004 13533997
deny 08288666 39717397
permit 44002688 15719717
permit 24024208 59999593
permit 24668646 33119331
deny 40046068 37175399
permit 08428882 53797179
permit 82204064 71939937
deny 20668048 91513593
deny 82282228 93793157
permit 20622484 35795159
permit 80802428 51731571
deny 40406800 51517135
deny 04404864 71799737
permit 62024248 95515159
permit 22824288 59173113
permit 64020648 51377573
deny 80484000 51153555
permit 44286664 17531337
permit 40846240 57357911
permit 64888444 71355919
deny 04460802 91175157
permit 40264804 17979395
permit 62664082 91799337
permit 66886008 59935973
deny 00046064 33599331
permit 84484240 71777757
permit 68642848 73155931
deny 20860042 79731351
deny 40686266 15995357
permit 68602404 57137391
deny 48462888 57313759
permit 84648460 93531577
deny 44202246 33951957
permit 66848242 75177355
permit 28002402 79755511
permit 62648646 75115539
deny 02284662 17313933
permit 62066220 51539513
permit 80246628 71519193
permit 42206000 97195771
deny 22000888 53331771
deny 88088246 51577513
permit 48064822 99957753
permit 42044082 13935997
deny 02482624 11553799
permit 48882280 55731931
permit 60486044 59735511
permit 00682448 55731933
deny 88048680 35933919
permit 80204688 73799377
permit 04664480 17715359
permit 22402666 95153577
deny 24428242 73711913
permit 66466806 73955755
permit 40408284 97137311
deny 86248084 57335377
deny 88442882 53797799
permit 68024002 93779559
permit 04668446 53137571
deny 24066826 33397379
deny 40464442 73179797
permit 86860284 55133719
permit 20808660 91531151
permit 86806828 53117199
deny 28442224 71377391
deny 62804682 99915731
permit 62664462 11537131
permit 24000226 97195139
deny 20864826 53357155
permit 26884224 11939911
permit 68402008 33357391
permit 82862628 13559195
deny 62248046 97755737
permit 68260446 91351997
permit 64824808 53391357
permit 20686462 59715991
deny 42682246 99335157
permit 88280268 95579931
permit 86602840 99911357
deny 06440848 95795953
deny 46068662 39119597
permit 40600022 39915535
permit 46006220 15157511
deny 00248662 51199355
deny 06824262 37539373
deny 44628842 33395911
permit 46864046 13339537
permit 02622260 59533917
deny 06048026 99375773
permit 06222844 73577517
permit 02208284 71379351
deny 20224826 39513533
deny 42408006 79977751
deny 60084246 91195599
permit 62248880 33511339
permit 66680664 15939953
deny 06866226 59117951
permit 26402642 71555913
permit 46628084 35357191
permit 28442866 37731739
deny 86660040 77375935
permit 24642420 59731391
permit 28886642 19197575
permit 80046660 93111911
deny 68666884 17197135
permit 06240886 97571335
permit 08026486 57973553
permit 62284224 59979753
deny 42662800 59519731
permit 68648042 11931933
permit 02040200 77339551
permit 86044080 35379551
deny 40642066 55917755
permit 42446484 15917373
deny 88606880 79715379
permit 00482422 17751913
deny 80820848 53351997
permit 60426482 19511933
permit 82626644 99375133
deny 24484206 37735337
deny 84262606 79913333
permit 80426886 15713111
permit 62880046 31319339
deny 08628060 99753131
deny 64666642 75393757
permit 64608200 17971115
permit 24006642 17377777
permit 04482402 53793537
deny 08442200 75731139
permit 08282882 19777337
deny 86668046 75315999
permit 84280664 93553935
deny 08604202 17779133
permit 68400482 95159575
permit 44602602 75779539
permit 42422644 53773757
deny 20008042 93377337
permit 06646444 15175995
permit 46842004 17553773
deny 88848628 59379777
deny 02248446 91199597
deny 22268802 75753791
permit 68628868 93795151
permit 02684484 51573175
deny 48684008 51959735
permit 88488082 75355319
permit 22626208 19775333
permit 24208220 97111999
deny 22404288 31559795
permit 66662882 99515179
deny 06884848 71173777
permit 42608464 57519135
deny 24046686 13751313
permit 26484044 79913911
permit 26640880 75955713
permit 88460668 71393533
deny 88600640 11393519
permit 00244240 37995379
permit 46008484 39573593
deny 82626424 95375195
deny 84622068 75993319
permit 02624262 15333975
permit 86420460 77135153
permit 24864228 15939553
deny 06480864 95773175
permit 82022026 75959793
permit 80488604 75997177
deny 04402042 59157351
deny 04026242 35539395
permit 86882442 59737995
permit 60002802 73371919
permit 82428080 97139371
deny 66828442 53519337
permit 66848428 51133177
deny 20206440 53335373
permit 46402064 15397511
deny 86662042 57595517
permit 84288448 73939977
permit 28662684 57599197
permit 86024206 59737533
deny 88868680 91733199
permit 08004426 95139575
deny 42684040 17757535
permit 60606882 37373735
deny 26480006 39777979
permit 88008426 19539777
permit 82604486 59573553
permit 46486400 59577513
deny 84824604 57753933
permit 20260688 13315159
permit 68682482 35135971
deny 20002460 97531351
deny 64600668 17337793
permit 00402006 79191191
deny 88000044 77193791
permit 86228046 51199751
deny 06020608 33995733
deny 04002402 75913395
permit 08628224 53913997
deny 66246244 97971135
deny 00604200 35731595
permit 64448808 91377393
permit 82884028 77797193
deny 28428660 53777117
deny 24426848 91951311
permit 28282888 77711935
permit 28022606 39957911
deny 62606262 91937119
deny 62280640 91935151
permit 46868800 31931535
permit 62484202 11393515
permit 66880460 11373373
deny 44882864 19779533
permit 20482646 73333199
permit 40464064 91915975
permit 80486664 77595333
deny 88242602 33539151
permit 08844848 13937375
permit 06480286 93719759
permit 66466426 79339575
deny 82884662 71799331
permit 60642404 53373559
permit 80822664 53935331
deny 46208668 79379379
deny 04446886 37513931
permit 66086266 11395119
permit 60624804 13153759
permit 08222200 19399395
deny 82846204 75555171
permit 48668860 75337951
permit 46206606 13953551
permit 64688426 31555553
deny 86460820 93197313
permit 82668666 59395373
deny 24608826 19979915
permit 88286660 39359173
deny 44602022 91537193
permit 62486064 13913953
deny 86644864 35117131
permit 82040006 99193993
deny 00246244 95799973
permit 66086068 19757975
permit 82028824 95337351
permit 66284064 15517171
deny 28826004 31115937
permit 86446824 77733319
permit 82682004 13539555
permit 02488848 95571175
deny 26620822 75317515
permit 08244680 37997797
permit 62004880 77571377
deny 44826886 75793779
deny 00662608 77355735
deny 60648042 33159951
permit 00804824 55979155
permit 04442606 13155537
deny 28680620 11177157
permit 20044400 51555359
permit 64404224 15395139
permit 22082606 19371951
deny 48242440 39179335
permit 64204420 59973759
permit 82086266 73357757
deny 42846022 91111537
deny 22260846 97577717
permit 20040282 93973713
deny 42226622 53759399
permit 08446624 57595573
deny 02088024 15373719
permit 42288244 35537799
permit 62284266 75551951
permit 20420004 15395191
deny 22002024 95317797
permit 42462086 95179359
permit 02204846 13715155
deny 20248462 11555931
deny 24620402 91115139
permit 22806266 73555333
permit 66206842 51957731
permit 06880406 95911919
deny 28408224 53559773
permit 88204208 39915713
permit 24406604 59139733
permit 68268640 93357591
deny 82222602 39139573
permit 66280884 75135933
deny 60886080 39531151
permit 40600806 31353337
deny 84228844 97997711
permit 08640442 51999517
deny 82242822 57533755
permit 28866264 53997975
deny 44400488 31593577
permit 66862046 77319193
permit 42224080 33117777
deny 04466262 17157511
deny 02662864 31195971
permit 62866262 51533911
permit 66802266 79155995
deny 80026684 13319193
deny 68246242 15959377
permit 46222208 19393391
permit 26606204 31377179
permit 08602802 91331713
deny 62200246 33137931
deny 28888840 59597395
permit 60888028 13133539
permit 28280460 35511359
deny 60424864 59979957
permit 20240466 93917937
permit 68842848 79751573
deny 08624686 91791719
deny 04842424 73337197
permit 44484864 91135371
permit 02206046 97357799
permit 42686888 37519533
deny 66640440 53515513
permit 28682862 13117711
permit 80224246 51913133
permit 60202826 15973155
deny 02020244 53599997
permit 28066664 59991197
permit 24468882 51773939
deny 84000640 73593955
deny 80804400 91599331
permit 86426264 15975911
permit 00066800 13799737
deny 64886682 19115131
deny 08644028 95797351
permit 66680880 73375973
permit 62808686 59757977
permit 46860002 17799779
deny 08008808 33311573
permit 28642026 99355559
permit 82644484 17711137
permit 26640406 77599993
deny 86880808 35553573
permit 80280206 75971135
permit 22800046 79331753
permit 84424202 19711517
deny 40222488 77773117
permit 06680664 75395759
permit 24468886 97951755
deny 84286462 99991733
deny 46644880 75993135
permit 46402820 77751971
permit 26420640 93713719
deny 62204400 33111775
deny 02406248 13391531
permit 42086228 71791351
deny 88604820 75791971
permit 28026046 57571313
deny 48024806 31753597
86480400 95713111 zatobqtsxg
02840626 31933155 afwzadmdud
06800206 97515719 bgfafylkjubotedglgfqrgzmtwjurwbgbcranybsxipuzyxoxs
46220802 13519559 wzenwtszeb
64444480 73137935 hcfubanilw
44660622 59513959 mhgtapspez
80800684 97755511 tgnohunafm
68664624 73579579 elehgdchqp
66246240 77357337 farwncrkhy
62048468 57391159 gtklcxelat
66228644 73155935 nkxsrwjwxw
28842800 33913191 utodihmbsl
40804642 97957931 xkfqpijazk
20222206 31137953 ezepqnsden
42020080 55511575 doxejgtgnk
08260684 71757377 uhmxuzcdcr
04866846 39595319 haxuvqvihi
22068486 33933151 wpstqfgloh
62626484 75797195 honqpopklczkvihepsxebwxgxidirkpctwtuxylcbwzgdqzavu
62066626 35113115 ozmngnerqz
66608600 13717915 fmxipsvkdi
80644464 37393559 qtapojitwb
20800002 13159531 vclirancnm
26446444 75373195 oxurstodkh
08864842 13715975 jerorijmtu
66246442 91991133 ktotodkvit
06462820 71937973 tcxslmzuhw
24880062 73333153 ozgjitujqf
48060046 79559531 jwnmlyripejcfivuhgtwjclcbgngrutgpubkxwdmnchqvchivu
82686444 95955573 ovclsfshar
60480086 53133371 lsrwxctwxgfidircrsjqdqhwrktcpkbstabupcpotoncfafcxu
46446600 51517997 absvefujmr
22246802 97597955 dgjidspazg
06684624 99771517 whyvipulal
84668664 35113713 rkzsjcbqpwvmlglszirwvclizapidgdoncbwxwtelermhytizq
86466880 55755595 clodinqjux
24686022 79533511 bmfkvqtgre
60280206 57511197 urctytglkp
24084224 73113519 zcjyhwvwjq
00208666 55373735 yxutsnuxux
04068404 79119971 ncxkhibats
02086886 99151317 ylmtelafyf
08282680 31533715 xqtstovmre
24660284 31715799 ofuhslaver
42668486 79599551 tolejknkfg
26420646 93753557 kluryrwran
88860822 15379995 ncvqbsvevi
86626828 93153993 wpkdwxkjwn
20868046 17791179 bwrydwbgzyzszsfmbcjsvijgdadofetcjqncrmzyzabqbszqtw
28886060 93375551 itgrgbehyp
40826684 17593337 jspmjgxcfw
60266044 55119191 cnghojolgn
26824682 19917397 dyjunkxijs
24000648 77551179 mxirsrcncr
80628020 51713191 pmbmfknszi
86848662 79133993 czelixslif
80226628 19515955 vefivilkne
86684664 17571573 ozwbmvkrir
84644284 55753755 dwnolsxmtu
20844488 79979551 mdohulozeb
02662686 19977737 pknatevytg
28086668 35799535 czezkvkhqn
42668002 19519951 zabotodana
08040400 95155917 yvcjqfsdsd
02200604 35715115 penepqpojc
06248268 93591597 ajcnapktmt
04002640 31375577 jwhcrmzgdo
42060684 33735775 efelshqbad
46884248 11537791 jypspupwxk
48888444 13711791 ovsrwnsbgn
84286262 19959379 rqtqvyzsda
48480600 39759979 yvmvmjudep
88408006 33539339 tazqfwpmna
62862640 77779755 qdonqhenwx
82004022 35395531 xuxipmjozs
26008226 57575959 slgncjkxur
08226028 71957151 dsnqtkjwlafkpyhoxmpgbwrqxqrelgdanstarujsludapupaxc
88486428 13131357 ubmfadctan
20684062 91337533 zqbidsvsjk
88820622 51139593 etcdwfmtwh
26626802 77753191 tchgvitudqparqhsxepmfifgvabyvgrovcfoxipsxgpmfsrwxu
24004608 31591913 ancfyfslwt
80626860 33559397 bqrmtqhkbs
04644640 79557955 qxuzctcncn
24428048 13753511 vcnubebids
24068620 97731797 glgbubatux
68448202 95515557 vazkrgbelm
84880204 19751117 utcdkvqrct
86604008 79319115 nqpqfubuhc
04000020 51915533 ynmncjwbwn
02042402 35955793 dklabsdsds
46668206 75519971 cbibslubmr
48026604 33135351 zkdkxwjijszetmpaniradmtkvwxqpixsvofaripezgjojwhgvy
08808086 51379159 ctkzazqncd
02084426 59159993 lgpknolkjg
28626084 17575155 yfchansbov
44200626 95135319 birsbobcji
66282028 59373519 szshuluvun
20808682 39757577 habkbilqhg
40848864 75177119 izknkhirmd
82402426 95779153 pmvilyfqpy
68600228 91377375 qrkzejspsh
64640622 33515519 lsdgtqxije
64284646 37933373 whuzafyvih
82848804 75917111 zypabohmdo
00266006 71179379 mrgrspsdof
88408602 15179957 ruzyxkzwxu
88864464 53317755 srabetehql
48262606 39157133 bujgvgvubg
28222604 71937711 ydipezgfsd
82280286 93579951 hyzufktitu
02026024 93571117 sxyhghqfsx
26602080 57391331 rozwxefclk
42406442 33599379 sjytqbipmz
40660008 37777117 dihoporszo
46008604 59599513 qhovqrafih
80046884 31535931 bghkhejeta
44846862 99151997 etadkvofcp
42646222 31573935 rwzwhqzmna
08486264 75977935 mncdwnevwl
02824064 31917355 batkdqrqlc
84046646 35111595 ungnydebav
64046844 55179357 bexkbejurc
04442624 51531155 sngzulqjgp
88604866 35379133 zmtanktcvw
46048808 13511575 algdmxonif
88844208 33939979 xgzwjmtqny
84602046 73517171 kdunarubsp
86466460 73515359 hqluxehaxm
40486244 37939177 cvcdodyron
40484628 11999379 vihgjwtkdm
40488402 91971113 svgbuxqlmj
06882662 71199151 fsjcdohqvupklmryfurqtetobwdobyzkdmjinmrklefcfmtqvc
40280082 75193375 yhirsrargz
08088846 99979117 polclszotw
40220802 19951315 whejybmduj
66248600 97577977 zotitaxyrg
64284226 71155975 afopgrirgh
44240444 37999331 fkncnermpk
04626406 11713975 odmlahalqz
82624844 39997731 pgtgfcvkne
80804600 93711115 ulcjyfahah
66444444 39137559 rstgxwdybk
62224406 51155733 mvwbsfmbmh
28046682 95177395 zqdsnmpmpg
44682664 33759397 yxgxqbqzwf
06822464 73799353 fedwvgbgpq
64200002 95337711 ermlepujid
82400840 77997317 bubmjehmfu
60662660 11393919 ixajwbgvqz
68464620 91733357 hczodcnyhs
80600408 13717373 sbunoxijwz
40604060 99977753 pgpchqpory
26202040 15733137 ofmxklonof
28480480 11799313 pqtobsfotgvkvwjqlchshofslsfkjahqxcxsjmlmvczanyvurw
60064008 99535719 qxghohehkl
82208202 59575537 jqhijgtyzkbwzkpgjsjkfwzatkpobgxqlaxmbcnyribkfojmvi
46820624 91377915 klajadulud
82020004 13533997 fwdupmnwhq
08288666 39717397 mjsvcjmdwh
44002688 15719717 nunsxovwbi
24024208 59999593 wlgdizazul
24668646 33119331 hqpopsdszk
40046068 37175399 kzarsnqtkl
08428882 53797179 nwfcdozstg
82204064 71939937 arafgzihmn
20668048 91513593 vkfqdwtazi
82282228 93793157 gfqlizwtmz
20622484 35795159 zkxkvorwfk
80802428 51731571 ujsdkhklob
